title,summary,license_type,arxiv_url,label
Exotic-interaction searches on small scales via near-threshold enhancement,"Exotic interactions between fermions mediated by new bosons beyond the Standard Model may hold the key to several fundamental conundrums on the frontier of physics.However, laboratory searching for exotic interactions on small length scales is fundamentally held back by the short force range.Here we propose that the force range of exotic interactions tends to infinity when the oscillation frequency of exotic interactions approaches the mass of the new bosons, i.e., the new bosons become nearly on-shell. This is named as the near-threshold enhancement. Through the near-threshold enhancement, even fermions at distances larger than the original force range can make considerable contributions to exotic interactions. Therefore, the size of the experimental apparatus can break the limitation of the force range, and thus both the signal of exotic interactions and the sensitivity of sensors can be greatly enhanced. We also propose a method to search for the exotic interactions in the mass range between 80 $μ$eV and 800 $μ$eV taking advantage of the near-threshold enhancement. For the coupling $g_{\rm A}^{\rm e}g_{\rm A}^{\rm e}$, we expect an improvement on its upper bounds of 10 orders of magnitude at 800 $μ$eV. This method can be further extended to enhance the search for other types of exotic interactions and boost the study of new physics beyond the Standard Model.",CC-BY 4.0,http://arxiv.org/abs/2511.21073v1,human
Caustic crossings in giant arcs with extended dark matter objects,"Caustic-crossing stars observed in giant arcs behind galaxy clusters provide a powerful probe of dark matter substructure. While previous work has focused on point-like lenses such as primordial black holes, we extend this framework to extended dark objects (EDOs), including ultracompact minihalos formed from the collapse of primordial overdensities. We develop an analytic model of microlensing by EDOs embedded in a macrolensing cluster potential and derive the resulting caustics and light curves. Depending on the EDO size relative to the effective Einstein radius, we show that they may generate additional narrow caustics, leading to novel features in the light curve. Applying our framework to the MACS J1149 LS1 ``Icarus'' event, we constrain EDOs with radii up to $10^7 R_\odot$. Our results demonstrate that caustic-crossing events complement galactic microlensing searches, as they can probe EDOs with larger physical size. We discuss the implications for current and future observations, which promise to deliver a statistical sample of caustic transients and correspondingly sharper constraints on dark objects.",CC-BY 4.0,http://arxiv.org/abs/2511.20761v1,human
The Intrinsic Dimension of Collider Events and Model-Independent Searches in 100 Dimensions,"The phase space of hadron collider events spans hundreds of dimensions, generating an intricate geometry that we are just starting to explore. The number of possible new physics signals is exponential in the number of dimensions and detecting all of them is currently impossible for any human or artificial intelligence. In this work we introduce a method to search for new physics model-independently in this high-dimensional space. It is based on the measurement of the most basic property of the manifold of collider events, its dimensionality. Our proposed technique does not suffer from a look-elsewhere effect that grows exponentially with the number of dimensions of the dataset, and by construction is insensitive to energy scale uncertainties. We illustrate its potential by finding new physics in simulated events with hundreds of phase space dimensions, taking as input single particles rather than jets. This study sets the stage for new model-independent search strategies based on global properties of collider data manifolds.",CC-BY 4.0,http://arxiv.org/abs/2511.20760v1,human
A simple generalization of the low-energy theorem for the effective Higgs-gluon-gluon coupling for the case of simultaneous decoupling of several heavy quarks,We extend in an extremely simple and straightforward way the well-known low-energy theorem for an effective Higgs-like scalar-gluon-gluon coupling [1] (as well as a similar one for for the effective coupling of the Higgs-like field to the light scalar quark currents) in QCD including arbitrary number of heavy quarks in addition to the light ones. The application of the generalized low-energy theorem allows the extraction of the four-loop effective Higgs-gluon-gluon coupling valid for extensions of the Standard Model with additional heavy quarks from the 3-loop results of [2] for the decoupling constant of $α_s$.,CC-BY 4.0,http://arxiv.org/abs/2511.20622v1,human
CP Violation in Charmed Meson Decays into Final States with $η'$,"We derive Standard Model predictions for the CP asymmetries of singly-Cabibbo suppressed $D\rightarrow Pη'$ decays, where $P=K,π,η$. Our predictions are based on the approximate SU(3)$_F$ symmetry of QCD and include first-order symmetry-breaking effects in a systematic way. The underlying symmetry leads to correlations between different decay modes. To this end we predict the correlations between $ a_{\rm CP}^{\rm dir}(D^+\to π^+ η')$ and $a_{\rm CP}^{\rm dir}(D_s^+ \to K^+ η')$ as well as $a_{\rm CP}^{\rm dir}(D^0\to π^0 η')$ and $ a_{\rm CP}^{\rm dir}(D^0\to ηη')$. Our results can be used to probe the Standard Model with future measurements by LHCb, Belle II and BESIII. At the same time, such future measurements permit the extraction of the key theory parameter related to the ratio of color-suppressed to color-favoured contributions to the decay amplitudes. Future data on both branching ratios and CP asymmetries will automatically improve our predictions and thereby also their sensitivity to physics beyond the Standard Model.",CC-BY 4.0,http://arxiv.org/abs/2511.20585v1,human
Natural inflation in Palatini $F(R)$,"$F(R)$ Palatini gravity provides a robust framework for constructing viable inflationary potentials. In this study, we examine natural inflation and show that its consistency with observational data can be restored when the model is embedded within $F(R)$ Palatini gravity, specifically for $F(R) = R + αR^n$ with $7/4 \lesssim n \leq 2$. For completeness, we also demonstrate that models with $n > 2$ do not yield comparable improvements, achieving partial agreement with the data only in the limit $n \rightarrow 2$.",CC-BY 4.0,http://arxiv.org/abs/2511.20557v1,human
The effect of sound speed on the gravitational wave spectrum of first order phase transitions in the early universe,"Gravitational waves from first-order phase transitions are a promising probe of physics beyond the Standard Model, as many extensions of the standard model result in first-order phase transitions in the early universe, from which the resulting gravitational waves could be detectable with the upcoming Laser Interferometer Space Antenna (LISA).   The properties of the phase transition and the resulting gravitational wave spectrum are determined by five key parameters: the nucleation temperature $T_n$, phase transition strength at the nucleation temperature $α_n$, bubble wall speed $v_\text{wall}$, transition rate $β$ and the sound speed $c_s$. Of these, the sound speed $c_s$ is determined by the equation of state $p(T,φ)$. In most studies, the plasma of the early universe has been assumed to be ultrarelativistic and therefore following the bag equation of state with $c_s = \frac{1}{\sqrt{3}}$.   In this thesis, the PTtools simulation framework for first-order phase transitions, based on the Sound Shell Model, has been extended to include support for arbitrary equations of state and therefore for a temperature- and phase-dependent sound speed $c_s(T,φ)$. The thesis also functions as a reference manual for PTtools. The framework has been tested with the constant sound speed model, in which the sound speed is a different constant in each phase. The sound speed has been shown to have a significant effect on the resulting gravitational wave spectrum, especially when changing the sound speed results in a change in the type of the solution. This has laid the groundwork for simulating cosmological phase transitions with realistic equations of state. This will result in in gravitational wave spectra that can be used in the LISA data analysis pipeline to search for the existence and parameters of a first-order phase transition in the early universe.",CC-BY 4.0,http://arxiv.org/abs/2511.20436v1,human
$B^+\to K^+ ν\barν$ Excess and DM semi-annihilation,"In 2023, Belle II collaboration announced the observarion of the $B^+ \to K^+ ν\barν$ decay channel for the first time. This decay channel provides a clean signal with high precision in theoretical calculation. However, we encounter $2.8σ$ deviation from the Standard Model (SM) prediction. To resolve this excess, we study scalar dark matter (DM) model with local discrete $Z_3$ symmetry. Assuming dark $U(1)_X \equiv U(1)_{L_μ- L_τ}$ symmetry, this $U(1)_{L_μ- L_τ}$ symmetry is spontaneously broken into local discrete $Z_3$ by non-zero vacuum expectation value of dark Higgs boson. Considering dark Higgs mass is $2$GeV, we can explain the recent ${\rm Br} (B^+ \to K^+ ν\barν)$ excess reported from Belle II collaboration and relic abundance at the same time.",CC0 1.0,http://arxiv.org/abs/2511.20430v1,human
Anisotropic flows in heavy-ion collisions at HADES with Skyrme pseudopotential,"Within the framework of the lattice Boltzmann-Uehling-Uhlenbeck transport model, we present a systematic study of proton anisotropic flow observables measured by the HADES collaboration, by utilizing the recently developed nuclear effective interaction based on the N$5$LO Skyrme pseudopotential. In particular, we investigate the impacts of the momentum dependence of nucleon mean-field potentials, the stiffness of symmetric nuclear matter (SNM) EOS, the high-density behaviors of the symmetry energy and the in-medium modification of nucleon-nucleon elastic cross sections on proton $v_{1}$, $v_{2}$, $v_{3}$, and $v_{4}$ in Au+Au collisions at $\sqrt{s_{\rm{NN}}} = 2.4\,\text{GeV}$. Our results show that the proton anisotropic flows are strongly sensitive to the momentum dependence of nucleon mean-field potential as well as the incompressibility coefficient $K_0$ of SNM. In addition, the transverse momentum dependence of the proton $v_2$ exhibits a modest sensitivity to the higher-order skewness coefficient $J_0$ and kurtosis coefficient $I_0$ of SNM as well as the momentum dependence of the symmetry potential, while the transverse momentum dependence of the proton $v_1$ is shown to modestly depend on the in-medium modification of nucleon-nucleon elastic cross sections. Moreover, the high-density symmetry energy seems to have limited effects on the proton anisotropic flows. These findings highlight the necessity of considering the momentum dependence of nucleon mean-field potentials including the symmetry potential, the higher-order characteristic parameters of SNM EOS beyond $K_0$, and the in-medium modification of nucleon-nucleon elastic cross sections, in future Bayesian transport model analyses on proton anisotropic flows in heavy-ion collisions at HADES energies, thereby to extract information on nuclear matter EOS as well as the associated underlying nuclear effective interactions.",CC-BY 4.0,http://arxiv.org/abs/2511.20387v1,human
Towards the two-loop electroweak corrections to the Drell-Yan process: the infrared structure,"We discuss the lepton-pair production process in Quantum Electrodynamics. We present the ultraviolet-renormalised and infrared-subtracted finite contribution of the second-order virtual corrections to the inclusive lepton-pair production cross section $u\bar u\to e^+e^-$. The results are obtained within a new computational framework, OCEANN, developed in view of the evaluation of the exact two-loop electroweak virtual corrections to high-energy scattering processes. One of the key methodological features in this approach is the representation of the scattering amplitude with arbitrary precision at every stage of the calculation. The analysis in QED allows us to address the treatment of the infrared structure of the process and it can be easily extended to the complete electroweak Standard Model case. The perfect agreement with the literature, for this subset of corrections, provides a non trivial validation of the general framework.",CC-BY 4.0,http://arxiv.org/abs/2511.20365v1,human
Revisiting lepton flavor violation: $τ$ and meson decays,"The minimal type-I seesaw model provides a simple explanation of neutrino flavor oscillations and induces charged lepton flavor violation (cLFV). Despite extensive previous studies, semileptonic cLFV channels remain underexplored. Using updated form factors, decay constants, and oscillation data, we revisit $τ$ and meson decay channels, performing a systematic comparison across the seesaw parameter space. Surprisingly, we find that decays such as $τ\to \ellρ$ can dominate over purely leptonic $τ$-sector probes, including $τ\to 3\ell$ and even $τ\to\ell\,γ$, in certain regions. In contrast, heavy-meson decays remain far below experimental sensitivity. Considering global constraints on the seesaw parameters, we derive branching ratios for the relevant cLFV processes and identify those within potential reach of next-generation experiments.",CC0 1.0,http://arxiv.org/abs/2511.20320v1,human
First determination of fragmentation functions in an exotic-hadron candidate,"In recent years, there are experimental reports on exotic-hadron candidates, which have different quark configurations from ordinary $q\bar q$ and $qqq$ constituents. However, it is not easy to confirm their exotic nature from global observables such as masses, spins, parities, and decay widths. At high energies, internal quark and gluon configurations could become more apparent because hadrons should be described by fundamental degrees of freedom of quarks and gluons in quantum chromodynamics. One of such possibilities is to use the fragmentation functions (FFs). In this work, accurate FFs of an exotic hadron candidate $f_0$(980) are determined for the first time by an global analysis of experimental data on $e^+ + e^- \to f_0 (980)+X$ with recent precise measurements of the Belle collaboration. From the global analysis, we found that their second moments have a relation $M_u = M_d \ll M_s \sim M_g $ for up-quark, down-quark, strange-quark, and gluon FFs. Furthermore, the function $D_s^{f_0}(z)$ is distributed in the larger-$z$ region in comparison with the functions $D_{u}^{f_0}(z)$, $D_{d}^{f_0}(z)$, and $D_g^{f_0}(z)$. These facts support that the $f_0 (980)$ has the $s\bar s$ configuration at high energies. This is a new finding that $f_0 (980)$ should be considered mainly as the $s\bar s$ state, which is different from our usual understanding as a tetraquark (or $K\bar K$) hadron from low-energy studies. Our results could indicate the transition of the internal configuration picture that $f_0 (980)$ looks like a $q\bar q$ state at high energies although it is described by tetra-quark or $K\bar K$ molecule state at low energies. It sheds light on a new direction in exotic hadron physics.",CC-BY 4.0,http://arxiv.org/abs/2511.20217v1,human
Multiplicity dependence of quarkonia production at ultra high energies,"In this paper we propose an approach in high energy QCD, which allows us to calculate the inclusive quarkonia production at ultra high energies. This approach is based on $t$-channel unitarity and on the expressions for dipole densities from the procedure of summing of large Pomeron loops which we have developed in our previous papers. In the framework of this approach we discuss the dependence of quarkonia production on the multiplicity of the accompanying hadrons. In this paper we used the three gluons fusion mechanism for quarkonia production, without assuming the multiplicity dependence of the saturation scale. We found the multiplicity distribution of produced gluon with ( $ \mathcal{P}^{J/Ψ}_n$) and without ($\mathcal{P}^{gluon}_n$) the quarkonia production. It turns out that $ \frac{\mathcal{P}^{J/Ψ}_n}{\mathcal{P}^{gluon}_n} \propto n^2 $ as has been expected and discussed in corresponding publications.",CC-BY 4.0,http://arxiv.org/abs/2511.20079v1,human
A Focused Review of Quintom Cosmology: From Quintom Dark Energy to Quintom Bounce,"The recently released data of DESI DR2 favors a dynamical dark energy theory, with the equation of state crossing the cosmological constant boundary $w=-1$. In this paper, we briefly review quintom cosmology, especially the quintom bounce. We will give three examples of a quintom bounce and one example of a cyclic universe with quintom matter.",CC-BY 4.0,http://arxiv.org/abs/2511.19994v1,human
Mechanical Properties of the Proton from a Deformed AdS Holographic Model,"We study the gravitational form factors of the proton and some of its mechanical properties. We use a holographic model based on the AdS/CFT correspondence, in which a deformation in the anti-de Sitter background geometry is considered. By describing the proton as a Dirac field in this background, we numerically evaluate the gloun contribution of its gravitational form factors $A$ and $C$ from its energy-momentum tensor. A comparison of our numerical results with respect to some lattice QCD results and previous results in holography is made. In general, a good agreement is found. We also evaluate the term $D$ and make use of it to compute the pressure and shear distributions in the system, which result in a stable composed particle interpretation consistent with the von Laue stability condition. The energy distribution in the system is also obtained. Internal forces are investigated to support this picture. We are also able to compute the radii associated with these distributions in the proton.",CC-BY 4.0,http://arxiv.org/abs/2511.20715v1,human
Cold Dark Matter and Dark Energy Based on an Analogy with Superconductivity,"We present a novel candidate for cold dark matter consisting of condensed Cooper pairs in a theory of interacting fermions with broken chiral symmetry. Establishing the thermal history from the early radiation era to the present, the fermions are shown to behave like standard radiation at high temperatures, but then experience a critical era decaying faster than radiation, akin to freeze-out that sets the relic abundance. Through a second-order phase transition, fermion - antifermion pairs condense and the system asymptotes towards zero temperature and pressure. By the present era, the non-relativistic, massive condensate decays slightly faster than in the standard scenario -- a unique prediction that may be tested by combined measurements of the cosmic microwave background and large scale structure. We also show that in the case of massive fermions, the phase transition is frustrated, and freeze-out instead leaves a residual, long-lived",CC-BY 4.0,http://arxiv.org/abs/2511.19802v1,human
"Strangelet Searches from Neutron Stars, Binary Mergers, and Gamma-Ray Bursts with Current and Future Observatories","Strange quark matter (SQM) is considered a possible true ground state of QCD at high densities. This idea motivates research on exotic compact objects and certain cosmic-ray phenomena. For instance, the remnant HESS J1731-347 contains a low-mass neutron star, about $0.77^{+0.20}_{-0.17}$ $M_\odot$ and $10.4^{+0.86}_{-0.78}$ km in radius, making it a strong candidate for a strange quark star. Other events, such as GW170817 and GRB 250702B, provide conditions that may favor the formation of strangelets. Strangelets are stable clusters of SQM, potentially created during the phase transition between the 2SC and CFL color-superconducting states. These clusters could generate monochromatic $γ$-ray lines in very-high-energy spectra through self-annihilation. This work analyzes the stability of strangelets, production cross-sections, and mass-to-charge ratios using QCD-based models. Data from H.E.S.S., Fermi-LAT, MAGIC-II, and CTA were used to set limits on spectral features and possible fluxes. Detecting narrow $γ$-ray lines will require improved instrument sensitivity. By integrating evidence from multimessenger astrophysics and dense QCD simulations, this study investigates the equations of state for compact stars and explores the potential cosmological influence of SQM.",CC-BY 4.0,http://arxiv.org/abs/2511.19799v1,human
The Speed of Gravity and the Fate of Dark Energy,"On August 17$^{\rm th}$ 2017, observatories worldwide made a landmark detection: gravitational waves and light from a binary neutron star merger. This event revolutionized our understanding of astrophysics, cosmology, and gravitation. In this proceeding of the 2025 International Congress of Basic Science, we describe how it transformed our view of cosmic acceleration (dark energy). The near-simultaneous arrival of light and gravitational waves shows that their speeds agree to within one part in $10^{15}$, excluding large classes of modified gravity theories and interactions between dark energy and matter.",CC-BY 4.0,http://arxiv.org/abs/2511.19762v1,human
Naive $T$-odd Drell-Yan angular coefficients as a probe of the dimension-8 SMEFT,"We propose the ``naive"" $T$-odd Collins-Soper moments in the Drell-Yan process as probes of previously unexplored directions in the Standard Model Effective Field Theory (SMEFT) parameter space. We show that the moments $A_6$ and $A_7$ in the high invariant mass and transverse momentum region are sensitive to dimension-8 $CP$-odd semi-leptonic four-fermion operators with an additional gluon field strength tensor. Using the projected integrated luminosity of a future high-luminosity LHC, we show that effective ultraviolet scales in the few-TeV range can be probed with this process.",CC-BY 4.0,http://arxiv.org/abs/2511.19617v1,human
Fibre Inflation Meets Quintessence: Implications of Perturbative Stabilisation,"In this paper, we have discovered a new avenue of fibre inflation in perturbative large volume scenario (pLVS) due to the redefinition of the base modulus. pLVS offers a novel regime where large volume of the internal space is guaranteed without the need of non-perturbative effects. In this setup, we study the possibility where a base redefinition allows to assess different versions of fibre inflation whose spectral index aligns with Atacama Cosmology Telescope (ACT) data \cite{ACT:2025fju, ACT:2025tim} and produces tensor-to-scalar ratio in the range $0.008\lesssim r\lesssim 0.01$ in different setups we have considered. The leading order flat direction - which in our case is the fibre modulus - is lifted with the combinations of string loop corrections, leading order $α^{\prime 3}$$R^4$-correction, higher derivative $F^{4}$ corrections as well as our new ingredient redefinition of the modulus. Since recent Dark Energy Spectroscopic Instrument (DESI) results appear to favour a dynamical explanation for late-time acceleration over a simple cosmological constant, exploring quintessence offers a more suitable approach. In this lore, we also examine the quintessence sector to complete our model and account for both early- and late-time cosmic acceleration. In this framework, the poly-instanton correction generates a potential along the axionic directions, and we find that the resulting quintessence behaviour and the subsequent cosmological predictions about dark matter closely resemble the predictions of the original fibre inflation scenario studied earlier.",CC-BY 4.0,http://arxiv.org/abs/2511.19610v1,human
"Viability of $A_4$, $S_4$ and $A_5$ Flavour Symmetries in Light of the First JUNO Result","We update the analysis of the viability of the lepton mixing patterns originating from $A_4$, $S_4$ and $A_5$ discrete flavour symmetries and leading to predictions for the solar neutrino mixing angle, $θ_{12}$. We perform a statistical analysis using as an input (i) the results of the latest global fit to neutrino oscillation data, and (ii) the first JUNO measurement of $\sin^2θ_{12}$. Out of the five (four) cases compatible with the global data at $3σ$ for normal (inverted) neutrino mass ordering, only three (two) cases remain compatible with the global data at the same confidence level after taking into account the JUNO result.",CC-BY 4.0,http://arxiv.org/abs/2511.19408v1,human
Gravitational Wave Probe of Singlet-Doublet Dark Matter Induced Radiative Neutrino Mass,"We investigate an one loop radiative neutrino mass model, where the loop particles, notably a singlet fermion ($χ$), a doublet fermion ($Ψ$) and three generations of singlet scalars ($φ_i, i=\{1,2,3\}$) are assumed to be odd under an additional $\mathcal{Z}_2$-symmetry. In this setup, the singlet fermion mixes with the neutral component of the doublet to give rise singlet-doublet Majorana dark matter. The addition of $\mathcal{Z}_2$ odd scalars in the model provides rich phenomenological implications. We find that the quartic interaction terms between the SM Higgs and $φ_i$s play a significant role in modifying the scalar potential to have a first-order phase transition (FOPT) leading to observable gravitational waves (GWs) spectra. We also examine the non-trivial role played by the singlet-doublet fermion DM and the scalars in loop-induced neutrino mass, $(g-2)_μ$, and lepton flavor violation. We find that the model is predictive due to the combined constraints and can be verified at different terrestrial experiments.",CC-BY 4.0,http://arxiv.org/abs/2511.19386v1,human
Limits on GeV-scale WIMP Annihilation in Dwarf Spheroidals with IceCube DeepCore,"Dark matter is approximately five times more abundant than baryonic matter in the universe, but its physical nature continues to elude physicists. One potential candidate for dark matter is a weakly-interacting massive particle (WIMP), which is predicted by various extensions to the Standard Model (SM) of particle physics. After becoming gravitationally bound in cosmic structures, WIMPs can self-annihilate and produce SM particles including neutrinos, which are observable by detectors like IceCube. We present a search for neutrinos from low-mass $(\leq 300 \, \mathrm{GeV})$ WIMP annihilation in dwarf spheroidal galaxies with over seven years of IceCube livetime. We find no statistically significant evidence of neutrinos produced by WIMP annihilation, and therefore set upper limits on the velocity-averaged annihilation cross section $\left<σv\right>$. Our strongest upper limits at the 90\% confidence level are $\mathcal{O}\!\left(10^{-22} \, \mathrm{{cm}^{3} \, s^{-1}}\right)$ for WIMP annihilation directly into neutrino-antineutrino pairs. For our least sensitive channel, the corresponding limits are $\mathcal{O}\!\left(10^{-20} \, \mathrm{{cm}^{3} \, s^{-1}}\right)$, which is an improvement of over two orders of magnitude over previous IceCube limits from dwarf galaxies at the upper end of our mass range.",CC-BY 4.0,http://arxiv.org/abs/2511.19385v1,human
